Training Epochs,AverageReturn,NormReturn,L_Act,L_Crit,Weight,kl
0,266.8,0.9731003778667365,4.534350553182512,0.035151608670013955,0.5,1.0
1,256.7,0.9353137042163941,12.594980800914765,0.07676877893116325,0.5,1.0
2,319.1,1.1687680047888063,19.07469144296646,0.22043570518791675,0.5,1.0
3,455.9,1.6805716637360169,23.70623863334656,0.36960654111430047,0.5,1.0
4,404.0,1.4864005387406936,27.10259477233887,0.38019721699133513,0.5,1.0
5,438.3,1.6147255789591828,27.99490118350983,0.40035125623345375,0.5,1.0
6,439.3,1.6184668337760484,25.964884509468078,0.6820943929567933,0.5,1.0
7,451.4,1.6637360170601219,22.37213828125,1.0515823119953274,0.5,1.0
8,380.7,1.3992293015077255,18.9112966506958,1.3088445607244967,0.5,1.0
9,450.9,1.661865389651689,17.101563499069215,0.8852465651884674,0.5,1.0
10,410.1,1.5092221931235736,16.465570825004576,0.5235362253844738,0.5,1.0
11,447.8,1.6502674997194058,17.51290352926254,0.4471722723413259,0.5,1.0
12,443.1,1.6326836020801376,18.339249737739564,0.4974713467426598,0.5,1.0
13,408.1,1.5017396834898424,20.15827503900528,0.5967749066330492,0.5,1.0
14,444.6,1.638295484305436,22.098254543495177,0.7764618742153049,0.5,1.0
15,440.1,1.621459837629541,22.470175999450685,0.9947331052325666,0.5,1.0
16,444.0,1.6360507314153165,22.5643482049942,1.06554380267933,0.5,1.0
17,440.1,1.621459837629541,22.543181600189207,1.2798112785547973,0.5,1.0
18,458.8,1.6914213027049272,22.93558037853241,0.9527033547274768,0.5,1.0
19,447.5,1.6491451232743461,24.006287292099,0.793918225324899,0.5,1.0
20,449.3,1.6558793819447042,24.507370819664,0.7233986556898803,0.5,1.0
21,445.8,1.6427849900856748,24.15333770904541,0.6061589473411441,0.5,1.0
22,454.6,1.6757080324740918,23.479363306236266,0.5886722418569028,0.5,1.0
23,452.3,1.667103146395301,22.170272863769533,0.4484401081133634,0.5,1.0
24,451.2,1.6629877660967487,20.98839879875183,0.20891436306387187,0.5,1.0
25,449.6,1.6570017583897638,21.145088014030456,0.12534095677118748,0.5,1.0
26,447.7,1.6498933742377193,21.754846511268617,0.08841066056266426,0.5,1.0
27,430.7,1.5862920423510045,22.812686246299744,0.0534411040336825,0.5,1.0
28,449.1,1.6551311309813312,23.955467425346374,0.03135433253282681,0.5,1.0
29,440.4,1.6225822140746005,24.7035518245697,0.02676715779216029,0.5,1.0
30,448.1,1.6513898761644656,25.124126620674133,0.02260209775539115,0.5,1.0
31,449.2,1.6555052564630175,25.307013779830932,0.019964038115227595,0.5,1.0
32,447.7,1.6498933742377193,25.285554966926576,0.01899037052099593,0.5,1.0
33,452.7,1.668599648322047,25.16863496170044,0.017973031371319666,0.5,1.0
34,453.0,1.6697220247671067,24.98455422973633,0.01705922498689033,0.5,1.0
35,442.8,1.631561225635078,24.81005307445526,0.01644007307118736,0.5,1.0
36,437.9,1.6132290770324365,24.638854482460022,0.01533268472191412,0.5,1.0
37,444.6,1.638295484305436,24.48601456928253,0.015268531620246358,0.5,1.0
38,443.9,1.63567660593363,24.317726411437988,0.014388524993229658,0.5,1.0
39,439.3,1.6184668337760484,24.20606069355011,0.014221655948506669,0.5,1.0
40,453.7,1.6723409031389127,24.09352361793518,0.014293290449446067,0.5,1.0
41,446.9,1.6469003703842267,24.039964009094238,0.014651258813939057,0.5,1.0
42,449.5,1.6566276329080774,24.02208026199341,0.014350474976142868,0.5,1.0
43,434.7,1.6012570616184667,24.03128417854309,0.014056225841818377,0.5,1.0
44,444.5,1.6379213588237493,24.01853529624939,0.014661933537106962,0.5,1.0
45,449.9,1.6581241348348235,23.980525337409972,0.014466790813929402,0.5,1.0
46,444.8,1.6390437352688092,23.90966550731659,0.013887500728806481,0.5,1.0
47,436.9,1.6094878222155709,23.77288418388367,0.013883258247445338,0.5,1.0
48,451.0,1.6622395151333758,23.672063636779786,0.013933318702271208,0.5,1.0
49,448.2,1.651764001646152,23.621535431289672,0.013005979710188695,0.5,1.0
50,436.6,1.6083654457705114,23.61360468120575,0.012976347757549956,0.5,1.0
51,450.2,1.659246511279883,23.68240888195038,0.012542243580659852,0.5,1.0
52,451.6,1.664484268023495,23.707055639076234,0.012302284017554484,0.5,1.0
53,438.7,1.6162220808859291,23.78513519592285,0.012019020291604102,0.5,1.0
54,448.7,1.6536346290545847,23.906445543289184,0.012584055946045555,0.5,1.0
55,449.3,1.6558793819447042,23.99633600063324,0.012303303087688983,0.5,1.0
56,452.7,1.668599648322047,24.02768600502014,0.012550327608850784,0.5,1.0
57,447.4,1.6487709977926595,24.012009695243837,0.012282934436178766,0.5,1.0
58,451.8,1.6652325189868682,23.977983460235595,0.011839023944339715,0.5,1.0
59,447.8,1.6502674997194058,23.900488286209107,0.011941360018867999,0.5,1.0
60,442.5,1.6304388491900184,23.761550144958495,0.01308220715536736,0.5,1.0
61,454.7,1.6760821579557783,23.623099691581725,0.013960537685919552,0.5,1.0
62,446.1,1.6439073665307344,23.510597186660767,0.014341285368753598,0.5,1.0
63,445.7,1.642410864603988,23.42491622886658,0.014598255895171315,0.5,1.0
64,437.4,1.6113584496240037,23.394982021141054,0.014486436528968624,0.5,1.0
65,443.8,1.6353024804519436,23.354244700050355,0.015064666939224116,0.5,1.0
66,443.0,1.632309476598451,23.334299055099486,0.01352230838513933,0.5,1.0
67,443.1,1.6326836020801376,23.38559556045532,0.013964980544114951,0.5,1.0
68,446.5,1.6454038684574805,23.418530067062377,0.013483588279993273,0.5,1.0
69,442.1,1.628942347263272,23.487891792678834,0.012933479908737354,0.5,1.0
70,405.5,1.492012420965992,23.53949730606079,0.013060974242445081,0.5,1.0
71,446.1,1.6439073665307344,23.57937148475647,0.012367279737489297,0.5,1.0
72,444.9,1.6394178607504954,23.721473360061644,0.012206426172703505,0.5,1.0
73,440.7,1.62370459051966,23.778082362556457,0.01220653228617739,0.5,1.0
74,446.5,1.6454038684574805,23.877604185676574,0.012382823171606288,0.5,1.0
75,446.5,1.6454038684574805,23.96595163154602,0.011973785968357697,0.5,1.0
76,454.1,1.673837405065659,24.019520715904235,0.011330158429290168,0.5,1.0
77,450.0,1.6584982603165102,24.078052071380615,0.012143412280082703,0.5,1.0
78,443.0,1.632309476598451,24.109848182678224,0.011988952062139287,0.5,1.0
79,450.7,1.661117138688316,24.170347465515135,0.011675069553405047,0.5,1.0
80,433.1,1.5952710539114818,24.199278968620302,0.012563014116277919,0.5,1.0
81,448.3,1.6521381271278386,24.25439536037445,0.012336667031841353,0.5,1.0
82,448.5,1.6528863780912117,24.295561787605287,0.012555162104521879,0.5,1.0
83,443.5,1.6341801040068837,24.364140102767944,0.012490232561412268,0.5,1.0
84,444.9,1.6394178607504954,24.407558747673036,0.012716154293599539,0.5,1.0
85,446.8,1.6465262449025402,24.431872800827026,0.013256982387206517,0.5,1.0
86,448.7,1.6536346290545847,24.481890513992308,0.013558370776753873,0.5,1.0
87,449.2,1.6555052564630175,24.515871668434144,0.013629972755815834,0.5,1.0
88,451.5,1.6641101425418083,24.528409880256653,0.013340314584714361,0.5,1.0
