Training Epochs,AverageReturn,NormReturn,L_Act,L_Crit,Weight,kl
0,0.0,0.0,14.844441780507239,17.64418496467471,0.5297762,1.0
1,0.0,0.0,19.673896628284453,1.6212366329669952,0.5565164,1.0
2,0.0,0.0,20.085589125728607,1.5670248027920723,0.567445,1.0
3,0.0,0.0,19.220047614192964,1.7821864066421986,0.58775306,1.0
4,0.0,0.0,17.24619794549942,1.7075124142467977,0.5932732,1.0
5,0.0,0.0,15.871811493206025,1.4478243596076965,0.592647,1.0
6,0.0,0.0,15.247754458141326,1.3630908867299556,0.5909949,1.0
7,0.2,0.2,14.83907202577591,1.2482345343977213,0.5908851,1.0
8,0.1,0.1,14.503042464923858,1.2123794812619686,0.5944315,1.0
9,0.3,0.3,14.346234351062774,1.1348140058845282,0.5887747,1.0
10,0.1,0.1,14.262117782211304,1.021404773247242,0.58710295,1.0
11,0.4,0.4,13.906953838062286,0.9495372543931008,0.59211797,1.0
12,0.4,0.4,13.498263989925384,0.9067138754665851,0.59426326,1.0
13,0.7,0.7,13.25271445388794,0.8517537911266089,0.5951753,1.0
14,0.3,0.3,13.016865996360778,0.845944754704833,0.5964918,1.0
15,0.5,0.5,12.908701779174805,0.8316362887173891,0.5978754,1.0
16,0.3,0.3,12.827193164634705,0.82823132879138,0.5960303,1.0
17,0.3,0.3,12.777436264419556,0.8033496426612139,0.59891,1.0
18,0.7,0.7,12.656175951385498,0.7979027794063092,0.5989728,1.0
19,0.1,0.1,12.753600553512573,0.783141114833951,0.59447324,1.0
20,0.3,0.3,12.9033635181427,0.7811550652682782,0.5901998,1.0
21,0.3,0.3,13.06603285665512,0.7625576022267342,0.5897581,1.0
22,0.6,0.6,13.149379182529449,0.7532191769123078,0.5866823,1.0
23,0.5,0.5,13.127774987220764,0.7202341930896043,0.58644426,1.0
24,0.5,0.5,13.168458791828156,0.7104959553927184,0.5856734,1.0
25,0.6,0.6,13.1995533370018,0.6960721613645554,0.58505607,1.0
26,0.4,0.4,13.284319799232483,0.6810991381824016,0.58496416,1.0
27,0.4,0.4,13.366868030166627,0.6797466016620397,0.58099854,1.0
28,0.7,0.7,13.393893246746064,0.664720591545105,0.5799056,1.0
29,0.7,0.7,13.319085159015655,0.6585679328590631,0.5825295,1.0
30,0.6,0.6,13.223252980995179,0.6436278119891882,0.58312136,1.0
31,0.2,0.2,13.201861563110352,0.6334772392690182,0.58248544,1.0
32,0.8,0.8,13.211448195838928,0.6322977413773536,0.5822019,1.0
33,0.6,0.6,13.231115368843078,0.6277935707241297,0.5836803,1.0
34,0.7,0.7,13.193962935638428,0.6192701764047146,0.58182424,1.0
35,0.6,0.6,13.17204510908127,0.6148489358246326,0.58143437,1.0
36,0.6,0.6,13.16355392484665,0.6060177931368351,0.581407,1.0
37,0.3,0.3,13.13470370311737,0.5992655629366637,0.5804162,1.0
38,0.6,0.6,13.227238367938995,0.6022708207935095,0.57729113,1.0
39,0.8,0.8,13.29474240732193,0.5889084309935569,0.57302904,1.0
40,0.5,0.5,13.236386262512207,0.576660039588809,0.57102203,1.0
41,0.6,0.6,13.231550910568238,0.576067257374525,0.5662476,1.0
42,0.8,0.8,13.261352608680726,0.5639400163024664,0.56637394,1.0
43,1.0,1.0,13.187969010734559,0.5569970438688994,0.5681308,1.0
44,0.6,0.6,13.132190180778503,0.5558689009487628,0.5668096,1.0
45,0.7,0.7,13.179306991672515,0.5536014865279197,0.5661185,1.0
46,0.8,0.8,13.211063613700867,0.5498231940537691,0.56510794,1.0
47,0.8,0.8,13.3375180642128,0.5453067669957876,0.5626136,1.0
48,0.8,0.8,13.332484693431855,0.5438970174610614,0.56231403,1.0
49,0.6,0.6,13.361526776790619,0.5379874858617782,0.5624787,1.0
50,0.5,0.5,13.293204937839509,0.5247633076116442,0.56234264,1.0
51,0.6,0.6,13.31285743598938,0.5205178674042225,0.5626781,1.0
52,0.7,0.7,13.259236217021941,0.515173567853868,0.56455046,1.0
53,0.9,0.9,13.271788789844512,0.5218329822465777,0.5628733,1.0
54,1.0,1.0,13.264009889125823,0.5246437497735024,0.56209344,1.0
55,0.6,0.6,13.277325927829743,0.5167078125238419,0.56042075,1.0
56,0.7,0.7,13.270811721420287,0.5042163463562727,0.5618192,1.0
57,0.6,0.6,13.284527382087708,0.5128551467120648,0.5617469,1.0
58,0.8,0.8,13.293653447723388,0.5063645938158036,0.5613313,1.0
59,0.8,0.8,13.23933649520874,0.49923253312557936,0.5613881,1.0
60,0.8,0.8,13.316652036094666,0.5020377549842,0.55924314,1.0
61,0.7,0.7,13.300356474399567,0.4975615671694279,0.56034905,1.0
62,0.7,0.7,13.29502686920166,0.5055655038833619,0.5613689,1.0
63,0.8,0.8,13.307522076416015,0.5096692365959287,0.56183255,1.0
64,1.0,1.0,13.38618748292923,0.5044072580516339,0.5587022,1.0
65,0.8,0.8,13.499616525554657,0.5045258798092603,0.55864197,1.0
66,0.6,0.6,13.568213564777373,0.510282160499692,0.5565625,1.0
67,0.9,0.9,13.6365805434227,0.5094654458254576,0.5596029,1.0
68,0.8,0.8,13.628753531074524,0.5108553376942873,0.5585021,1.0
69,1.0,1.0,13.688539414596558,0.5087858218282462,0.5597705,1.0
70,0.7,0.7,13.737951510810852,0.5063745471313595,0.55830014,1.0
71,0.9,0.9,13.841596917533874,0.5010900327369571,0.5565338,1.0
72,0.9,0.9,13.882624356269837,0.5016298304915429,0.5569856,1.0
73,0.8,0.8,13.901009016323089,0.48823615284860133,0.5575484,1.0
74,0.9,0.9,13.88593627500534,0.4818720979750156,0.55533296,1.0
75,0.7,0.7,13.87661866083145,0.4941097213476896,0.55640924,1.0
76,0.8,0.8,13.86447581539154,0.48308196747601034,0.5581854,1.0
77,0.7,0.7,13.800446598052979,0.4852087632700801,0.55878156,1.0
78,0.8,0.8,13.825549260425568,0.4784974996715784,0.55808204,1.0
79,0.9,0.9,13.740974547481537,0.4684876000136137,0.5589042,1.0
80,1.0,1.0,13.74167224597931,0.4710531531870365,0.5580231,1.0
81,0.6,0.6,13.745722064876556,0.47059367416203024,0.55783856,1.0
82,0.9,0.9,13.795697181510926,0.46716250604391096,0.55566096,1.0
83,0.8,0.8,13.843396228790283,0.4664311655730009,0.55601954,1.0
84,0.7,0.7,13.881665315437317,0.46501352662593126,0.5557831,1.0
85,0.8,0.8,13.968013487243653,0.4595942427352071,0.55351216,1.0
86,0.7,0.7,13.972734255504609,0.4604561912804842,0.5566739,1.0
87,0.8,0.8,13.885467096042634,0.46070004974752665,0.5573937,1.0
88,0.8,0.8,13.900302203941346,0.46329979145526884,0.5550819,1.0
89,0.9,0.9,13.909757085227966,0.46540160794705154,0.5545396,1.0
90,1.0,1.0,13.85603484582901,0.4526108008340001,0.5570748,1.0
91,0.7,0.7,13.80942915353775,0.449283956643939,0.55645186,1.0
92,0.7,0.7,13.835445519161224,0.44696873735934495,0.55657226,1.0
93,0.9,0.9,13.830362159061432,0.4562262997299433,0.55670106,1.0
94,0.9,0.9,13.864052965641022,0.4592496363699436,0.5554109,1.0
95,0.7,0.7,13.930650433254241,0.4507430170491338,0.5543034,1.0
