step,dataset_idx,raw_frame,next_raw_frame,recon_mean,recon_sum,kl_raw,num_keypoints
0.000000000000000000e+00,2.028000000000000000e+03,2.334000000000000000e+03,2.337000000000000000e+03,2.656509727239608765e-02,2.125207781791687012e-01,7.303283691406250000e+00,3.200000000000000000e+01
1.000000000000000000e+00,2.031000000000000000e+03,2.337000000000000000e+03,2.338000000000000000e+03,1.769848167896270752e-02,1.415878534317016602e-01,7.494748115539550781e+00,3.200000000000000000e+01
2.000000000000000000e+00,2.032000000000000000e+03,2.338000000000000000e+03,2.340000000000000000e+03,5.389621481299400330e-03,4.311697185039520264e-02,7.522080421447753906e+00,3.200000000000000000e+01
3.000000000000000000e+00,2.034000000000000000e+03,2.340000000000000000e+03,2.341000000000000000e+03,3.488218784332275391e-02,2.790575027465820312e-01,7.447267055511474609e+00,3.200000000000000000e+01
4.000000000000000000e+00,2.035000000000000000e+03,2.341000000000000000e+03,2.343000000000000000e+03,1.312781125307083130e-01,1.050224900245666504e+00,7.661404609680175781e+00,3.200000000000000000e+01
5.000000000000000000e+00,2.037000000000000000e+03,2.343000000000000000e+03,2.345000000000000000e+03,3.246311098337173462e-02,2.597048878669738770e-01,7.501700878143310547e+00,3.200000000000000000e+01
6.000000000000000000e+00,2.039000000000000000e+03,2.345000000000000000e+03,2.346000000000000000e+03,2.378276586532592773e-01,1.902621269226074219e+00,7.458827495574951172e+00,3.200000000000000000e+01
7.000000000000000000e+00,2.040000000000000000e+03,2.346000000000000000e+03,2.347000000000000000e+03,4.264205694198608398e-02,3.411364555358886719e-01,7.541494846343994141e+00,3.200000000000000000e+01
8.000000000000000000e+00,2.041000000000000000e+03,2.347000000000000000e+03,2.348000000000000000e+03,7.575909839943051338e-04,6.060727871954441071e-03,7.537909030914306641e+00,3.200000000000000000e+01
9.000000000000000000e+00,2.042000000000000000e+03,2.348000000000000000e+03,2.350000000000000000e+03,2.831054851412773132e-02,2.264843881130218506e-01,7.422430515289306641e+00,3.200000000000000000e+01
1.000000000000000000e+01,2.044000000000000000e+03,2.350000000000000000e+03,2.351000000000000000e+03,5.457817018032073975e-02,4.366253614425659180e-01,7.426084518432617188e+00,3.200000000000000000e+01
1.100000000000000000e+01,2.045000000000000000e+03,2.351000000000000000e+03,2.352000000000000000e+03,6.334489583969116211e-02,5.067591667175292969e-01,7.442241191864013672e+00,3.200000000000000000e+01
1.200000000000000000e+01,2.046000000000000000e+03,2.352000000000000000e+03,2.353000000000000000e+03,9.583611041307449341e-03,7.666888833045959473e-02,7.467582702636718750e+00,3.200000000000000000e+01
1.300000000000000000e+01,2.047000000000000000e+03,2.353000000000000000e+03,2.355000000000000000e+03,9.228652715682983398e-02,7.382922172546386719e-01,7.250194549560546875e+00,3.200000000000000000e+01
1.400000000000000000e+01,2.049000000000000000e+03,2.355000000000000000e+03,2.356000000000000000e+03,2.310952246189117432e-01,1.848761796951293945e+00,7.827867507934570312e+00,3.200000000000000000e+01
1.500000000000000000e+01,2.050000000000000000e+03,2.356000000000000000e+03,2.385000000000000000e+03,7.906546816229820251e-03,6.325237452983856201e-02,7.312299728393554688e+00,3.200000000000000000e+01
1.600000000000000000e+01,2.079000000000000000e+03,2.385000000000000000e+03,2.389000000000000000e+03,5.249387584626674652e-03,4.199510067701339722e-02,7.242529392242431641e+00,3.200000000000000000e+01
1.700000000000000000e+01,2.083000000000000000e+03,2.389000000000000000e+03,2.394000000000000000e+03,1.766266766935586929e-03,1.413013413548469543e-02,7.427066802978515625e+00,3.200000000000000000e+01
1.800000000000000000e+01,2.088000000000000000e+03,2.394000000000000000e+03,2.399000000000000000e+03,2.848031371831893921e-02,2.278425097465515137e-01,7.022108078002929688e+00,3.200000000000000000e+01
1.900000000000000000e+01,2.093000000000000000e+03,2.399000000000000000e+03,2.411000000000000000e+03,6.967885885387659073e-03,5.574308708310127258e-02,6.892377376556396484e+00,3.200000000000000000e+01
2.000000000000000000e+01,2.105000000000000000e+03,2.411000000000000000e+03,2.415000000000000000e+03,5.648215860128402710e-02,4.518572688102722168e-01,7.016903877258300781e+00,3.200000000000000000e+01
2.100000000000000000e+01,2.109000000000000000e+03,2.415000000000000000e+03,2.417000000000000000e+03,6.243259087204933167e-02,4.994607269763946533e-01,7.135262012481689453e+00,3.200000000000000000e+01
2.200000000000000000e+01,2.111000000000000000e+03,2.417000000000000000e+03,2.418000000000000000e+03,7.218072563409805298e-02,5.774458050727844238e-01,7.334846496582031250e+00,3.200000000000000000e+01
2.300000000000000000e+01,2.112000000000000000e+03,2.418000000000000000e+03,2.445000000000000000e+03,5.799628794193267822e-02,4.639703035354614258e-01,7.392979621887207031e+00,3.200000000000000000e+01
