step,dataset_idx,raw_frame,next_raw_frame,recon_mean,recon_sum,kl_raw,num_keypoints
0.000000000000000000e+00,2.730000000000000000e+03,3.132000000000000000e+03,3.135000000000000000e+03,5.050757527351379395e-02,4.040606021881103516e-01,7.053244113922119141e+00,3.200000000000000000e+01
1.000000000000000000e+00,2.733000000000000000e+03,3.135000000000000000e+03,3.137000000000000000e+03,8.748476952314376831e-02,6.998781561851501465e-01,6.914492130279541016e+00,3.200000000000000000e+01
2.000000000000000000e+00,2.735000000000000000e+03,3.137000000000000000e+03,3.138000000000000000e+03,1.562588661909103394e-02,1.250070929527282715e-01,7.037317276000976562e+00,3.200000000000000000e+01
3.000000000000000000e+00,2.736000000000000000e+03,3.138000000000000000e+03,3.139000000000000000e+03,4.222558811306953430e-02,3.378047049045562744e-01,6.920559883117675781e+00,3.200000000000000000e+01
4.000000000000000000e+00,2.737000000000000000e+03,3.139000000000000000e+03,3.140000000000000000e+03,1.611522212624549866e-02,1.289217770099639893e-01,7.389157772064208984e+00,3.200000000000000000e+01
5.000000000000000000e+00,2.738000000000000000e+03,3.140000000000000000e+03,3.142000000000000000e+03,5.748141556978225708e-02,4.598513245582580566e-01,6.899995803833007812e+00,3.200000000000000000e+01
6.000000000000000000e+00,2.740000000000000000e+03,3.142000000000000000e+03,3.143000000000000000e+03,2.789509594440460205e-01,2.231607675552368164e+00,8.032659530639648438e+00,3.200000000000000000e+01
7.000000000000000000e+00,2.741000000000000000e+03,3.143000000000000000e+03,3.144000000000000000e+03,1.004250198602676392e-01,8.034001588821411133e-01,8.060346603393554688e+00,3.200000000000000000e+01
8.000000000000000000e+00,2.742000000000000000e+03,3.144000000000000000e+03,3.145000000000000000e+03,3.606615960597991943e-02,2.885292768478393555e-01,6.704163551330566406e+00,3.200000000000000000e+01
9.000000000000000000e+00,2.743000000000000000e+03,3.145000000000000000e+03,3.147000000000000000e+03,3.570475615561008453e-03,2.856380492448806763e-02,6.527189254760742188e+00,3.200000000000000000e+01
1.000000000000000000e+01,2.745000000000000000e+03,3.147000000000000000e+03,3.148000000000000000e+03,2.300986275076866150e-02,1.840789020061492920e-01,6.285923957824707031e+00,3.200000000000000000e+01
1.100000000000000000e+01,2.746000000000000000e+03,3.148000000000000000e+03,3.149000000000000000e+03,3.049600683152675629e-02,2.439680546522140503e-01,6.509765148162841797e+00,3.200000000000000000e+01
1.200000000000000000e+01,2.747000000000000000e+03,3.149000000000000000e+03,3.150000000000000000e+03,1.003305613994598389e-01,8.026444911956787109e-01,6.290966033935546875e+00,3.200000000000000000e+01
1.300000000000000000e+01,2.748000000000000000e+03,3.150000000000000000e+03,3.152000000000000000e+03,5.501837655901908875e-02,4.401470124721527100e-01,7.185452461242675781e+00,3.200000000000000000e+01
1.400000000000000000e+01,2.750000000000000000e+03,3.152000000000000000e+03,3.183000000000000000e+03,1.409047981724143028e-03,1.127238385379314423e-02,6.556243896484375000e+00,3.200000000000000000e+01
1.500000000000000000e+01,2.781000000000000000e+03,3.183000000000000000e+03,3.187000000000000000e+03,6.598356645554304123e-03,5.278685316443443298e-02,6.638487815856933594e+00,3.200000000000000000e+01
1.600000000000000000e+01,2.785000000000000000e+03,3.187000000000000000e+03,3.192000000000000000e+03,1.793690398335456848e-02,1.434952318668365479e-01,6.876492023468017578e+00,3.200000000000000000e+01
