step,dataset_idx,raw_frame,next_raw_frame,recon_mean,recon_sum,kl_raw,num_keypoints
0.000000000000000000e+00,3.934000000000000000e+03,4.518000000000000000e+03,4.521000000000000000e+03,3.932411223649978638e-02,3.145928978919982910e-01,3.485123157501220703e+00,0.000000000000000000e+00
1.000000000000000000e+00,3.937000000000000000e+03,4.521000000000000000e+03,4.522000000000000000e+03,1.672057062387466431e-02,1.337645649909973145e-01,4.118870735168457031e+00,0.000000000000000000e+00
2.000000000000000000e+00,3.938000000000000000e+03,4.522000000000000000e+03,4.524000000000000000e+03,2.353718578815460205e-01,1.882974863052368164e+00,4.277164936065673828e+00,0.000000000000000000e+00
3.000000000000000000e+00,3.940000000000000000e+03,4.524000000000000000e+03,4.526000000000000000e+03,1.895505934953689575e-02,1.516404747962951660e-01,3.710480690002441406e+00,0.000000000000000000e+00
4.000000000000000000e+00,3.942000000000000000e+03,4.526000000000000000e+03,4.527000000000000000e+03,2.350577339529991150e-02,1.880461871623992920e-01,4.385405063629150391e+00,0.000000000000000000e+00
5.000000000000000000e+00,3.943000000000000000e+03,4.527000000000000000e+03,4.529000000000000000e+03,3.921394348144531250e-01,3.137115478515625000e+00,7.465022087097167969e+00,0.000000000000000000e+00
6.000000000000000000e+00,3.945000000000000000e+03,4.529000000000000000e+03,4.531000000000000000e+03,7.776385545730590820e-02,6.221108436584472656e-01,4.454494476318359375e+00,0.000000000000000000e+00
7.000000000000000000e+00,3.947000000000000000e+03,4.531000000000000000e+03,4.532000000000000000e+03,1.111230477690696716e-01,8.889843821525573730e-01,3.488048076629638672e+00,0.000000000000000000e+00
8.000000000000000000e+00,3.948000000000000000e+03,4.532000000000000000e+03,4.534000000000000000e+03,3.855222761631011963e-01,3.084178209304809570e+00,5.274726867675781250e+00,0.000000000000000000e+00
9.000000000000000000e+00,3.950000000000000000e+03,4.534000000000000000e+03,4.536000000000000000e+03,1.449923664331436157e-01,1.159938931465148926e+00,3.904168605804443359e+00,0.000000000000000000e+00
1.000000000000000000e+01,3.952000000000000000e+03,4.536000000000000000e+03,4.537000000000000000e+03,3.580592572689056396e-02,2.864474058151245117e-01,3.289416551589965820e+00,0.000000000000000000e+00
1.100000000000000000e+01,3.953000000000000000e+03,4.537000000000000000e+03,4.539000000000000000e+03,5.328885316848754883e-01,4.263108253479003906e+00,3.338171482086181641e+00,0.000000000000000000e+00
1.200000000000000000e+01,3.955000000000000000e+03,4.539000000000000000e+03,4.572000000000000000e+03,8.326274156570434570e-02,6.661019325256347656e-01,4.132123947143554688e+00,0.000000000000000000e+00
1.300000000000000000e+01,3.988000000000000000e+03,4.572000000000000000e+03,4.576000000000000000e+03,1.981422454118728638e-01,1.585137963294982910e+00,5.656347274780273438e+00,0.000000000000000000e+00
1.400000000000000000e+01,3.992000000000000000e+03,4.576000000000000000e+03,4.581000000000000000e+03,4.663220643997192383e-01,3.730576515197753906e+00,6.301280498504638672e+00,0.000000000000000000e+00
1.500000000000000000e+01,3.997000000000000000e+03,4.581000000000000000e+03,4.599000000000000000e+03,2.635433152318000793e-02,2.108346521854400635e-01,4.589831352233886719e+00,0.000000000000000000e+00
1.600000000000000000e+01,4.015000000000000000e+03,4.599000000000000000e+03,4.604000000000000000e+03,1.597315967082977295e-01,1.277852773666381836e+00,5.719104766845703125e+00,0.000000000000000000e+00
1.700000000000000000e+01,4.020000000000000000e+03,4.604000000000000000e+03,4.605000000000000000e+03,7.153925299644470215e-01,5.723140239715576172e+00,5.700388908386230469e+00,0.000000000000000000e+00
1.800000000000000000e+01,4.021000000000000000e+03,4.605000000000000000e+03,4.631000000000000000e+03,8.471195399761199951e-02,6.776956319808959961e-01,4.668890476226806641e+00,0.000000000000000000e+00
1.900000000000000000e+01,4.047000000000000000e+03,4.631000000000000000e+03,4.632000000000000000e+03,4.575280472636222839e-02,3.660224378108978271e-01,4.189846038818359375e+00,0.000000000000000000e+00
2.000000000000000000e+01,4.048000000000000000e+03,4.632000000000000000e+03,4.633000000000000000e+03,7.275800406932830811e-02,5.820640325546264648e-01,4.844058036804199219e+00,0.000000000000000000e+00
2.100000000000000000e+01,4.049000000000000000e+03,4.633000000000000000e+03,4.635000000000000000e+03,2.248894423246383667e-01,1.799115538597106934e+00,6.404737949371337891e+00,0.000000000000000000e+00
2.200000000000000000e+01,4.051000000000000000e+03,4.635000000000000000e+03,4.636000000000000000e+03,2.381059378385543823e-01,1.904847502708435059e+00,7.111872196197509766e+00,0.000000000000000000e+00
2.300000000000000000e+01,4.052000000000000000e+03,4.636000000000000000e+03,4.637000000000000000e+03,7.171017676591873169e-02,5.736814141273498535e-01,4.004988193511962891e+00,0.000000000000000000e+00
2.400000000000000000e+01,4.053000000000000000e+03,4.637000000000000000e+03,4.638000000000000000e+03,1.703179813921451569e-02,1.362543851137161255e-01,3.547719001770019531e+00,0.000000000000000000e+00
2.500000000000000000e+01,4.054000000000000000e+03,4.638000000000000000e+03,4.640000000000000000e+03,5.082326009869575500e-03,4.065860807895660400e-02,4.308959960937500000e+00,0.000000000000000000e+00
2.600000000000000000e+01,4.056000000000000000e+03,4.640000000000000000e+03,4.641000000000000000e+03,6.365643441677093506e-02,5.092514753341674805e-01,5.688965797424316406e+00,0.000000000000000000e+00
2.700000000000000000e+01,4.057000000000000000e+03,4.641000000000000000e+03,4.643000000000000000e+03,2.587449848651885986e-01,2.069959878921508789e+00,4.723236083984375000e+00,0.000000000000000000e+00
2.800000000000000000e+01,4.059000000000000000e+03,4.643000000000000000e+03,4.645000000000000000e+03,2.453249841928482056e-01,1.962599873542785645e+00,5.889295578002929688e+00,0.000000000000000000e+00
2.900000000000000000e+01,4.061000000000000000e+03,4.645000000000000000e+03,4.646000000000000000e+03,6.077941656112670898e-01,4.862353324890136719e+00,7.779943466186523438e+00,0.000000000000000000e+00
3.000000000000000000e+01,4.062000000000000000e+03,4.646000000000000000e+03,4.647000000000000000e+03,4.347131848335266113e-01,3.477705478668212891e+00,5.967637538909912109e+00,0.000000000000000000e+00
3.100000000000000000e+01,4.063000000000000000e+03,4.647000000000000000e+03,4.648000000000000000e+03,3.015530705451965332e-01,2.412424564361572266e+00,6.309547424316406250e+00,0.000000000000000000e+00
3.200000000000000000e+01,4.064000000000000000e+03,4.648000000000000000e+03,4.650000000000000000e+03,4.509287327527999878e-02,3.607429862022399902e-01,6.505910873413085938e+00,0.000000000000000000e+00
3.300000000000000000e+01,4.066000000000000000e+03,4.650000000000000000e+03,4.651000000000000000e+03,3.177603706717491150e-02,2.542082965373992920e-01,6.736098289489746094e+00,0.000000000000000000e+00
