step,dataset_idx,raw_frame,next_raw_frame,recon_mean,recon_sum,kl_raw,num_keypoints
0.000000000000000000e+00,3.169000000000000000e+03,3.640000000000000000e+03,3.644000000000000000e+03,6.944388151168823242e-02,5.555510520935058594e-01,7.354292869567871094e+00,3.200000000000000000e+01
1.000000000000000000e+00,3.173000000000000000e+03,3.644000000000000000e+03,3.645000000000000000e+03,7.238428294658660889e-02,5.790742635726928711e-01,7.501300334930419922e+00,3.200000000000000000e+01
2.000000000000000000e+00,3.174000000000000000e+03,3.645000000000000000e+03,3.646000000000000000e+03,1.744126528501510620e-02,1.395301222801208496e-01,7.619290351867675781e+00,3.200000000000000000e+01
3.000000000000000000e+00,3.175000000000000000e+03,3.646000000000000000e+03,3.647000000000000000e+03,6.895872298628091812e-03,5.516697838902473450e-02,7.605785369873046875e+00,3.200000000000000000e+01
4.000000000000000000e+00,3.176000000000000000e+03,3.647000000000000000e+03,3.649000000000000000e+03,6.148620694875717163e-02,4.918896555900573730e-01,7.390649795532226562e+00,3.200000000000000000e+01
5.000000000000000000e+00,3.178000000000000000e+03,3.649000000000000000e+03,3.650000000000000000e+03,3.825075924396514893e-02,3.060060739517211914e-01,7.489710807800292969e+00,3.200000000000000000e+01
6.000000000000000000e+00,3.179000000000000000e+03,3.650000000000000000e+03,3.651000000000000000e+03,6.133216619491577148e-02,4.906573295593261719e-01,7.620025634765625000e+00,3.200000000000000000e+01
7.000000000000000000e+00,3.180000000000000000e+03,3.651000000000000000e+03,3.652000000000000000e+03,3.343142941594123840e-02,2.674514353275299072e-01,7.563086986541748047e+00,3.200000000000000000e+01
8.000000000000000000e+00,3.181000000000000000e+03,3.652000000000000000e+03,3.654000000000000000e+03,1.161302551627159119e-01,9.290420413017272949e-01,6.696210861206054688e+00,3.200000000000000000e+01
9.000000000000000000e+00,3.183000000000000000e+03,3.654000000000000000e+03,3.655000000000000000e+03,1.118673663586378098e-02,8.949389308691024780e-02,7.576992511749267578e+00,3.200000000000000000e+01
1.000000000000000000e+01,3.184000000000000000e+03,3.655000000000000000e+03,3.656000000000000000e+03,5.727564543485641479e-02,4.582051634788513184e-01,7.426928520202636719e+00,3.200000000000000000e+01
1.100000000000000000e+01,3.185000000000000000e+03,3.656000000000000000e+03,3.657000000000000000e+03,3.966794535517692566e-02,3.173435628414154053e-01,7.346666336059570312e+00,3.200000000000000000e+01
1.200000000000000000e+01,3.186000000000000000e+03,3.657000000000000000e+03,3.659000000000000000e+03,1.044043749570846558e-01,8.352349996566772461e-01,6.912165164947509766e+00,3.200000000000000000e+01
1.300000000000000000e+01,3.188000000000000000e+03,3.659000000000000000e+03,3.691000000000000000e+03,3.492013737559318542e-02,2.793610990047454834e-01,7.177892684936523438e+00,3.200000000000000000e+01
1.400000000000000000e+01,3.220000000000000000e+03,3.691000000000000000e+03,3.695000000000000000e+03,1.643088646233081818e-02,1.314470916986465454e-01,6.746956348419189453e+00,3.200000000000000000e+01
1.500000000000000000e+01,3.224000000000000000e+03,3.695000000000000000e+03,3.701000000000000000e+03,7.127682864665985107e-02,5.702146291732788086e-01,6.747323513031005859e+00,3.200000000000000000e+01
1.600000000000000000e+01,3.230000000000000000e+03,3.701000000000000000e+03,3.717000000000000000e+03,3.023952245712280273e-03,2.419161796569824219e-02,6.930485725402832031e+00,3.200000000000000000e+01
1.700000000000000000e+01,3.246000000000000000e+03,3.717000000000000000e+03,3.721000000000000000e+03,4.301981627941131592e-02,3.441585302352905273e-01,7.487514495849609375e+00,3.200000000000000000e+01
1.800000000000000000e+01,3.250000000000000000e+03,3.721000000000000000e+03,3.722000000000000000e+03,4.828955978155136108e-02,3.863164782524108887e-01,7.678706169128417969e+00,3.200000000000000000e+01
1.900000000000000000e+01,3.251000000000000000e+03,3.722000000000000000e+03,3.746000000000000000e+03,4.499756544828414917e-02,3.599805235862731934e-01,7.448441505432128906e+00,3.200000000000000000e+01
2.000000000000000000e+01,3.275000000000000000e+03,3.746000000000000000e+03,3.747000000000000000e+03,4.822636954486370087e-03,3.858109563589096069e-02,7.427472114562988281e+00,3.200000000000000000e+01
