Training Epochs,AverageReturn,NormReturn,L_Act,L_Crit,Weight,kl
0,0.0,0.0,0.017175868351902046,3.43267238273805,0.5,1.0
1,0.9,0.9,0.0064174081755596375,1.9518604095401886,0.5,1.0
2,0.8,0.8,0.00939696340354401,1.2238533158490512,0.5,1.0
3,0.7,0.7,0.010819047597660881,1.0131761196182258,0.5,1.0
4,0.8,0.8,0.01066394856485872,0.943082871819779,0.5,1.0
5,1.0,1.0,0.011027436214208864,0.8871618108279594,0.5,1.0
6,0.9,0.9,0.01171406397987248,0.8386249117258401,0.5,1.0
7,1.0,1.0,0.012035038234747731,0.7366813938497161,0.5,1.0
8,1.0,1.0,0.013208795472684687,0.5972105990335862,0.5,1.0
9,0.7,0.7,0.015915479689477707,0.6221302743785518,0.5,1.0
