Training Epochs,AverageReturn,NormReturn,L_Act,L_Crit,Weight,kl
0,121.5,0.42949605297616816,4.938215530588851,0.006757291638368042,0.5,1.0
1,142.3,0.5073141531669723,13.867921125745774,0.02755559680883307,0.5,1.0
2,348.8,1.2798832728497138,21.100901015758513,0.07389974969690666,0.5,1.0
3,301.2,1.1017995435669123,25.84322944869995,0.1134528333272785,0.5,1.0
4,310.3,1.135844962400389,28.515604775619508,0.18221705372463912,0.5,1.0
5,331.6,1.2155336899996259,30.617180194854736,0.15273868609704078,0.5,1.0
6,299.2,1.0943170339331811,31.775894689369203,0.11922356171682477,0.5,1.0
7,297.5,1.0879569007445096,32.255804384040836,0.11628985846173018,0.5,1.0
8,340.2,1.2477084814246697,32.658258644104,0.07521402406385168,0.5,1.0
9,322.1,1.1799917692394029,33.31196348457336,0.06731711647547782,0.5,1.0
10,380.6,1.3988551760260393,33.97289536190033,0.0547445354568772,0.5,1.0
11,361.7,1.3281454599872797,34.52383727073669,0.04703605577964336,0.5,1.0
12,418.4,1.5402746081035579,34.965992308044434,0.0446194184656255,0.5,1.0
13,397.1,1.4605858805043213,35.303154842758175,0.04500059619615786,0.5,1.0
14,390.1,1.434397096786262,35.53779340209961,0.043382460749614986,0.5,1.0
15,418.0,1.5387781061768115,35.641886972236634,0.04365821514246054,0.5,1.0
16,396.3,1.4575928766508286,35.91325597476959,0.03766007742853835,0.5,1.0
17,372.3,1.3678027610460548,36.06177907238006,0.03668242656253278,0.5,1.0
18,387.0,1.4227992068539788,36.20085615406036,0.034985841762972994,0.5,1.0
19,356.4,1.308316809457892,36.35164932098389,0.03347437848569825,0.5,1.0
20,417.5,1.5369074787683787,36.448853361320495,0.031131975399539807,0.5,1.0
21,432.2,1.5919039245763027,36.60279828681946,0.03114192378167063,0.5,1.0
22,380.8,1.3996034269894122,36.693624549484255,0.031067216394143178,0.5,1.0
23,327.4,1.1998204197687903,36.80533679256439,0.03133360967910848,0.5,1.0
24,354.3,1.3004601743424744,36.870707898521424,0.03045712195583619,0.5,1.0
25,427.1,1.5728235250102884,36.9764159784317,0.03094715402056463,0.5,1.0
26,336.7,1.2346140895656401,37.02438773899078,0.03027120043078903,0.5,1.0
27,412.0,1.5163305772756182,37.10928318042755,0.029277276430721394,0.5,1.0
28,434.9,1.6020053125818399,37.183269020080566,0.03255342712961137,0.5,1.0
29,299.3,1.0946911594148678,37.229354521560666,0.03238742788182571,0.5,1.0
30,369.8,1.3584496240038908,37.31763900794983,0.031652193401381375,0.5,1.0
31,323.6,1.1856036514647013,37.35111231994629,0.03298235538592562,0.5,1.0
32,336.1,1.232369336675521,37.39364060401917,0.030772817228897475,0.5,1.0
33,324.4,1.1885966553181937,37.46090292682648,0.03301411801672075,0.5,1.0
34,317.1,1.161285495155075,37.50628171749115,0.034441929420433004,0.5,1.0
35,308.0,1.1272400763215982,37.53893543815613,0.03304629652502481,0.5,1.0
36,308.0,1.1272400763215982,37.532212032318114,0.033898950304999016,0.5,1.0
37,356.0,1.306820307531146,37.57942273979187,0.03460063505030703,0.5,1.0
38,323.2,1.184107149537955,37.59933289661407,0.03434914136815351,0.5,1.0
39,374.9,1.3775300235699053,37.64283907928467,0.03140924313489813,0.5,1.0
40,289.5,1.058026862209585,37.63399897060394,0.03326749188560061,0.5,1.0
41,325.2,1.1915896591716861,37.64464548988342,0.03167874703695998,0.5,1.0
42,302.0,1.1047925474204048,37.669825051116945,0.029755672909133137,0.5,1.0
43,343.0,1.2581839949118934,37.67252545318603,0.030317751935636624,0.5,1.0
44,286.8,1.047925474204048,37.68258297786713,0.02895120307900943,0.5,1.0
45,334.8,1.2275057054135956,37.70405987033844,0.029815932942042128,0.5,1.0
46,288.4,1.053911481911033,37.71788202476502,0.02597841670801863,0.5,1.0
47,415.6,1.5297990946163342,37.73354949150085,0.026412276046490296,0.5,1.0
48,371.7,1.3655580081559353,37.74876623229981,0.026329283908649814,0.5,1.0
49,342.3,1.2555651165400876,37.772255465698244,0.028821413848432714,0.5,1.0
50,393.3,1.446369112200232,37.79183135471344,0.024900108929094857,0.5,1.0
51,332.1,1.2174043174080587,37.8581755935669,0.026037265308387576,0.5,1.0
52,348.8,1.2798832728497138,37.83376471557617,0.025549271531775594,0.5,1.0
53,292.8,1.0703730031052414,37.84113283691406,0.024734694417333232,0.5,1.0
54,344.5,1.2637958771371918,37.82240109786987,0.024977453868580052,0.5,1.0
