Training Epochs,AverageReturn,NormReturn,L_Act,L_Crit,Weight,kl
0,0.8,0.8,12.718509753608704,0.40994580386728047,0.37312007,1.0
1,1.0,1.0,12.390983717632293,0.41216741594076156,0.39416918,1.0
2,0.9,0.9,12.036980430316925,0.410010481351614,0.40246242,1.0
3,1.0,1.0,11.642150426769257,0.41019616158902644,0.4081077,1.0
4,1.0,1.0,11.147846112251282,0.41169629275798797,0.41298878,1.0
5,0.9,0.9,10.645095542812347,0.40422994995713235,0.4148891,1.0
6,0.7,0.7,10.203876638317109,0.3998666072711349,0.4137667,1.0
7,1.0,1.0,9.971793363285064,0.39013638289123775,0.40910164,1.0
8,0.8,0.8,9.836901198196411,0.3832746741205454,0.4084062,1.0
9,1.0,1.0,9.768901346302032,0.37917394898235796,0.4075103,1.0
