Training Epochs,L_Act,L_Crit,L_Recon,L_KL,Val_Recon,Val_Recon_Sum,Val_Raw_Recon,Val_Raw_Recon_Sum,Val_Raw_Recon_Dim0_MSE,Val_Raw_Recon_Dim1_MSE,Val_Raw_Recon_Dim2_MSE,Val_Raw_Recon_Dim3_MSE,Val_Raw_Recon_Dim4_MSE,Val_Raw_Recon_Dim5_MSE,Val_Raw_Recon_Dim6_MSE,Val_Raw_Recon_Dim7_MSE,Val_Raw_Recon_Dim0_RMSE,Val_Raw_Recon_Dim1_RMSE,Val_Raw_Recon_Dim2_RMSE,Val_Raw_Recon_Dim3_RMSE,Val_Raw_Recon_Dim4_RMSE,Val_Raw_Recon_Dim5_RMSE,Val_Raw_Recon_Dim6_RMSE,Val_Raw_Recon_Dim7_RMSE,Val_KL,Val_Plot_Recon,Val_Plot_Raw_Recon,Val_Plot_KL,Weight,kl
0,3.5734053347148,131.65262800607084,0.09419835735857486,4.006775127410888,0.11710268631577492,0.9368214905261993,6.146167379483813e-07,4.916933903587051e-06,1.0648224701981235e-06,1.5689875567659328e-06,8.112145621907985e-07,3.4214419031286525e-07,9.59364960806397e-08,7.69106350162474e-07,1.2055789699871866e-08,2.5266656678013533e-07,0.001031902354972661,0.001252592334626846,0.0009006745040195146,0.0005849309278135883,0.0003097361717343322,0.0008769870866566246,0.0001097988601938648,0.0005026594938724776,8.047862529754639,0.10911204665899277,5.810129550809506e-07,8.006393432617188,0.5,1.0
1,7.58606703710556,129.72441625976563,0.033421718422323464,4.003631922721863,0.14771668612957,1.18173348903656,7.252055524986645e-07,5.80164419261564e-06,1.2386707908262906e-06,1.4235916410143545e-06,1.3700152976525715e-06,5.603098429673992e-07,1.1187257342726298e-07,8.036062695282453e-07,1.43725831236452e-08,2.792053663824845e-07,0.0011129558799998726,0.0011931435961418703,0.00117047652588703,0.000748538471267442,0.0003344735765755839,0.0008964408901473902,0.00011988570858799309,0.0005283988705348304,8.02232837677002,0.16331139206886292,7.503935535169148e-07,8.016362190246582,0.5,1.0
2,9.464413646697999,106.53930682754516,0.02409553320147097,4.003207682609558,0.11703187227249146,0.9362549483776093,5.812419487938314e-07,4.649935817724327e-06,1.1772033872148313e-06,1.2132138635934098e-06,8.304183438667678e-07,4.6177390800039575e-07,8.273030971395201e-08,7.87688719583457e-07,1.0876901157530483e-08,8.603034729048886e-08,0.0010849900401454528,0.0011014598783402915,0.0009112729250157539,0.0006795394822969418,0.00028762877066446606,0.0008875182925345579,0.00010429238302738356,0.00029330930310934373,8.028153896331787,0.16568489372730255,8.055775424509193e-07,8.050192832946777,0.5,1.0
3,10.913386320114135,94.97962440109254,0.02010647589713335,4.002371110916138,0.12943685427308083,1.035494863986969,6.472937457147054e-07,5.178349283596617e-06,1.1147051566240407e-06,1.512339679266006e-06,1.1621401085903926e-06,4.0198580109063187e-07,1.1252132026129402e-07,7.49292496493581e-07,1.4227947708889133e-08,1.1113701603449044e-07,0.0010557959824814833,0.001229772206250412,0.0010780260240784508,0.0006340235020018042,0.00033544197748834896,0.0008656168300660408,0.00011928096121715792,0.00033337218845382174,8.023928165435791,0.09923037141561508,5.287648150442692e-07,8.0,0.5,1.0
4,11.29652391910553,85.0664939918518,0.01944292158447206,4.002259821891784,0.14284945279359818,1.1427955627441406,6.690251552754489e-07,5.352201242203591e-06,1.1357072366990906e-06,1.5209134289762005e-06,1.0863922170756268e-06,5.505296201135934e-07,1.4981610263475886e-07,8.010898397969868e-07,1.8812050583960627e-08,8.894068770359809e-08,0.0010656956585719446,0.0012332531893233442,0.0010423014041416364,0.0007419768325989656,0.0003870608513331707,0.0008950362226172675,0.00013715702892655785,0.00029822925360131606,8.019194602966309,0.17067891359329224,8.462479286208691e-07,8.02139663696289,0.5,1.0
5,12.347429327011108,72.4727944431305,0.019472735717892646,4.002182710647583,0.15073181688785553,1.2058546543121338,6.968235197746253e-07,5.574588385570678e-06,9.786056978100532e-07,1.7651975099397532e-06,1.1089937288488727e-06,4.359169878398461e-07,1.8584306360480696e-07,9.801221665384219e-07,2.3288588835157498e-08,9.662067412818942e-08,0.000989245014043565,0.0013286073573256145,0.001053087711849717,0.0006602400986306771,0.0004310951908857334,0.0009900111951581265,0.00015260599213385266,0.00031083866253764093,8.028101444244385,0.15974636375904083,5.57775081233558e-07,8.137933731079102,0.5,1.0
