Training Epochs,AverageReturn,NormReturn,L_Act,L_Crit,Weight,kl
0,0.0,0.0,0.028489522119312823,2.970723275538405,0.5,1.0
1,0.1,0.1,0.051757468178780255,0.5747324426939995,0.5,1.0
2,0.4,0.4,0.054754442456148175,0.3391627333637574,0.5,1.0
3,0.7,0.7,0.06507145582302691,0.3023909741089679,0.5,1.0
4,0.6,0.6,0.07071686628759635,0.2843755869493645,0.5,1.0
5,0.7,0.7,0.07321692245328158,0.2004940502167563,0.5,1.0
6,0.7,0.7,0.08196674858065235,0.13735613976597089,0.5,1.0
7,0.5,0.5,0.0867330778516378,0.14582159529435448,0.5,1.0
8,0.7,0.7,0.09662332357341366,0.1172707422524516,0.5,1.0
9,0.7,0.7,0.09959513416448754,0.11084856732888147,0.5,1.0
10,0.7,0.7,0.10806959051840823,0.08946182760722586,0.5,1.0
11,0.7,0.7,0.11534396035843529,0.09399612037357874,0.5,1.0
12,0.9,0.9,0.1274930167625207,0.08541985236772452,0.5,1.0
13,0.7,0.7,0.13206925128205185,0.07765177244737279,0.5,1.0
14,0.8,0.8,0.14082250152200285,0.07038566051318776,0.5,1.0
15,0.7,0.7,0.14445753957349808,0.0628144208498532,0.5,1.0
16,0.5,0.5,0.148722321472544,0.05361822540660796,0.5,1.0
17,0.6,0.6,0.1539812329754859,0.05358172949003638,0.5,1.0
18,0.6,0.6,0.15532629391609953,0.05279467913314584,0.5,1.0
19,0.7,0.7,0.1603617150108039,0.04898466208113241,0.5,1.0
20,0.6,0.6,0.16125345832052118,0.04501869921298348,0.5,1.0
21,0.7,0.7,0.1680892595774494,0.04321483593746089,0.5,1.0
22,0.6,0.6,0.1751284519758352,0.04413658681142842,0.5,1.0
23,0.8,0.8,0.17526347130394423,0.04528350635570532,0.5,1.0
24,0.7,0.7,0.17900339367233245,0.04616001842581318,0.5,1.0
25,0.6,0.6,0.18226551174035122,0.04328052298098919,0.5,1.0
26,0.6,0.6,0.186150103704138,0.04714858133426751,0.5,1.0
27,0.7,0.7,0.18588696712637612,0.041295033522532325,0.5,1.0
28,0.6,0.6,0.18872731126849832,0.0412997106253315,0.5,1.0
29,0.7,0.7,0.1876284884484252,0.04008106173842971,0.5,1.0
30,0.6,0.6,0.19414307375735662,0.03768753482130705,0.5,1.0
31,0.7,0.7,0.19281678003775887,0.035008438524341906,0.5,1.0
32,0.6,0.6,0.19234548894539766,0.03287910450542986,0.5,1.0
33,0.7,0.7,0.19144157971919631,0.03228795726695244,0.5,1.0
34,0.8,0.8,0.19034732715203137,0.032628983172493464,0.5,1.0
35,0.7,0.7,0.1952928051360039,0.035134045165874705,0.5,1.0
36,0.7,0.7,0.19330209051739658,0.03609595498325362,0.5,1.0
37,0.8,0.8,0.1990166299331424,0.030748952526161156,0.5,1.0
38,0.8,0.8,0.20033690882138036,0.03267786848731339,0.5,1.0
39,0.7,0.7,0.20391733306776733,0.03212744515338272,0.5,1.0
40,1.0,1.0,0.20366920683481732,0.03047030637991411,0.5,1.0
41,0.5,0.5,0.20109393459708372,0.030416703941934974,0.5,1.0
42,0.7,0.7,0.2026189725612363,0.030340678020828637,0.5,1.0
43,0.8,0.8,0.2057884223567875,0.03205754627053393,0.5,1.0
44,0.7,0.7,0.2029788791265164,0.028253855035523884,0.5,1.0
45,0.6,0.6,0.20639267728765698,0.028584525335460784,0.5,1.0
46,0.6,0.6,0.20704942959785985,0.02967805647222267,0.5,1.0
47,0.8,0.8,0.21121421822368722,0.02871891948239936,0.5,1.0
48,0.7,0.7,0.20869925734764982,0.02647279892639199,0.5,1.0
49,0.7,0.7,0.2077629357308324,0.02487802853106259,0.5,1.0
