Training Epochs,AverageReturn,NormReturn,L_Act,L_Crit,Weight,kl
0,240.7,0.8754536271465448,1.286606742682308,0.0030890945100967657,0.5,1.0
1,85.2,0.29368850312394773,5.972657504415512,0.009544798276299844,0.5,1.0
2,78.6,0.2689962213326349,12.35776830496788,0.034794941392517646,0.5,1.0
3,104.7,0.3666429720528265,18.214703298568725,0.041208839282672854,0.5,1.0
4,156.3,0.5596917206030904,21.891301281547545,0.02457160104275681,0.5,1.0
5,137.3,0.48860787908264436,24.11999208908081,0.018902619603509082,0.5,1.0
6,147.8,0.527891054659733,25.529155073356627,0.013412152125081048,0.5,1.0
7,115.4,0.4066743985932882,26.37374728317261,0.012622686821524984,0.5,1.0
8,118.8,0.4193946649706311,26.809980131340026,0.013200236688531004,0.5,1.0
9,40.1,0.12495791088331025,27.046061420822145,0.012564685333613306,0.5,1.0
10,38.6,0.1193460286580119,27.219179445075987,0.011476729407673702,0.5,1.0
11,44.3,0.14067118111414564,27.310566328811646,0.010353495066124015,0.5,1.0
12,44.4,0.14104530659583223,27.38621579990387,0.009513556715240703,0.5,1.0
13,44.3,0.14067118111414564,27.36762750225067,0.008764428490004502,0.5,1.0
14,44.9,0.142915934004265,27.41861000404358,0.009227458535623737,0.5,1.0
15,38.8,0.12009427962138498,27.44874753665924,0.008732733873510734,0.5,1.0
16,34.0,0.10213625650043023,27.47403717098236,0.009750019592931494,0.5,1.0
17,46.1,0.1474054397845037,27.484040562057494,0.010603965733502991,0.5,1.0
18,44.4,0.14104530659583223,27.477294713020324,0.011671461475244723,0.5,1.0
19,41.4,0.12982154214523547,27.47905359363556,0.013278267862810753,0.5,1.0
20,41.3,0.12944741666354892,27.46334111881256,0.014417292346432804,0.5,1.0
