Training Epochs,AverageReturn,NormReturn,L_Act,L_Crit,Weight,kl
0,0.0,0.0,15.95096266511213,20.536944805336,0.5654444,1.0
1,0.0,0.0,20.62745625038147,1.5030756874084472,0.5621506,1.0
2,0.0,0.0,21.388650019454957,1.2821115864634514,0.5580772,1.0
3,0.0,0.0,21.409178429222106,1.5256951889038086,0.567434,1.0
4,0.0,0.0,20.60402173023224,1.6464326135396958,0.57349265,1.0
5,0.0,0.0,18.743732972240448,1.4589777283251286,0.58608735,1.0
6,0.0,0.0,16.38858471813202,1.194943940794468,0.59402454,1.0
7,0.0,0.0,14.233294192886353,1.0023402273863553,0.6054264,1.0
8,0.3,0.3,12.412769106674194,0.9311906505435705,0.62785906,1.0
9,0.0,0.0,11.466682329845428,0.9145297689914703,0.63320714,1.0
10,0.1,0.1,11.393688744544983,0.9236239089220762,0.6317953,1.0
11,0.3,0.3,11.708403106737137,0.9120327553033829,0.62985045,1.0
12,0.1,0.1,11.754978593158722,0.8739797063946724,0.62903005,1.0
13,0.0,0.0,11.525911316871642,0.8222997123986483,0.63080484,1.0
14,0.4,0.4,11.209017611217499,0.7789302339881659,0.6323302,1.0
15,0.7,0.7,10.966116562843323,0.7693928772360087,0.6348501,1.0
16,0.5,0.5,10.913378168439865,0.7641545919179916,0.62424093,1.0
17,0.3,0.3,11.062810524892807,0.7698257656931877,0.6135931,1.0
18,0.7,0.7,11.174999031305314,0.7589683454871178,0.614085,1.0
19,0.6,0.6,11.352049910354614,0.734635979962349,0.6057787,1.0
20,0.4,0.4,11.487214914703369,0.7307579350978136,0.60106057,1.0
21,0.6,0.6,11.546037192726136,0.7175861678898334,0.60614353,1.0
22,0.8,0.8,11.484349491548539,0.7048411312609911,0.6064214,1.0
23,0.9,0.9,11.510452937078476,0.6958973157346249,0.59943765,1.0
24,0.5,0.5,11.51907597951889,0.6897083512812853,0.5992537,1.0
25,0.6,0.6,11.579302888965607,0.6812136531025171,0.59374654,1.0
26,0.7,0.7,11.561822662639617,0.6724149115651846,0.5973202,1.0
27,0.6,0.6,11.383853939151765,0.6443171180188656,0.6043038,1.0
28,0.5,0.5,11.257718445587159,0.6261963497281074,0.60238254,1.0
29,0.8,0.8,11.205695330524444,0.6168512169867754,0.60297024,1.0
30,0.5,0.5,11.105424727392197,0.6086093657702207,0.6051439,1.0
31,0.6,0.6,11.001017164564132,0.6010909387409687,0.60561526,1.0
32,0.7,0.7,10.935426840496064,0.5889892245352268,0.6052342,1.0
33,0.6,0.6,10.952913227939606,0.5960134619191289,0.6050856,1.0
34,0.5,0.5,10.974863799381255,0.5863670261651277,0.60243225,1.0
35,0.7,0.7,11.0058423766613,0.5816114274352789,0.60016173,1.0
36,0.7,0.7,10.991558456563949,0.5672441430076957,0.6025942,1.0
37,0.6,0.6,10.872608163690566,0.5498818940863013,0.6054684,1.0
